Time,MyBus0
208.72us,3
209.12us,4
209.52us,3
209.72us,4
210.12us,3
211.72us,2
211.92us,3
212.12us,1
212.32us,2
212.52us,3
212.72us,2
213.12us,1
213.32us,3
213.52us,1
213.92us,2
214.12us,0
214.32us,2
214.52us,1
215.32us,0
215.52us,1
215.92us,0
216.32us,1
216.52us,1023
216.72us,1
216.92us,271
216.93us,1023
217.12us,0
217.33us,1
217.52us,1021
217.72us,1
217.92us,1021
218.32us,1023
218.52us,1022
218.72us,1023
219.32us,1021
219.72us,1023
219.92us,1022
220.12us,1023
220.32us,1021
220.92us,1023
221.12us,1021
221.32us,1022
221.72us,1019
221.92us,1021
222.32us,1019
222.52us,1021
223.12us,1019
223.32us,1021
223.72us,1019
223.92us,1021
224.12us,1019
224.32us,1021
224.52us,1019
226.52us,1017
226.72us,1019
227.12us,1017
227.32us,1019
227.52us,1017
227.72us,1019
227.92us,1017
228.32us,1021
228.52us,1020
228.72us,1019
228.92us,1017
229.92us,1015
230.12us,1017
230.72us,1015
230.92us,1017
231.12us,1015
231.52us,1017
231.72us,1015
231.92us,1017
232.32us,1015
232.52us,1016
232.72us,1015
234.12us,1013
234.32us,1014
234.52us,1015
235.32us,1013
235.52us,1015
235.72us,1013
236.12us,1014
236.32us,1013
236.72us,1014
236.92us,1011
237.12us,1013
237.32us,1014
237.52us,1011
237.72us,1013
238.52us,1011
239.12us,1013
239.32us,1011
241.72us,1009
241.92us,1011
242.32us,1009
242.92us,1011
243.12us,1009
243.92us,1011
244.12us,1009
244.32us,1011
244.52us,1009
245.92us,1008
246.12us,1009
246.52us,1007
246.72us,1008
246.92us,1007
247.12us,1008
247.32us,1007
247.72us,1008
248.12us,1007
248.72us,1008
248.92us,1007
249.12us,1008
249.32us,1007
249.72us,1006
249.92us,1005
250.12us,1001
250.32us,1007
250.52us,1006
250.92us,1007
251.12us,1005
251.52us,1006
251.72us,1005
252.92us,999
253.12us,1004
253.32us,1005
253.52us,1004
253.92us,1005
254.12us,1003
254.32us,1005
254.72us,1003
254.92us,1004
255.52us,1003
255.72us,1004
256.12us,1003
256.32us,1005
256.52us,1003
257.12us,1002
257.32us,1003
257.52us,1001
257.72us,1002
257.92us,1004
258.12us,1003
258.92us,997
259.12us,1003
259.52us,1002
259.72us,1003
259.92us,1001
260.12us,1003
260.52us,1001
260.72us,1002
260.92us,1001
261.32us,998
261.52us,1002
261.72us,1001
262.12us,1003
262.32us,1001
262.92us,999
263.12us,1001
263.52us,999
263.72us,1001
264.12us,999
264.32us,1000
264.52us,1001
264.72us,999
264.92us,1000
265.12us,999
265.92us,1001
266.12us,999
266.52us,998
266.72us,999
266.92us,998
267.32us,999
267.72us,1001
267.92us,999
268.52us,998
268.72us,999
268.92us,997
269.12us,999
269.52us,997
269.72us,998
269.92us,997
270.32us,999
270.52us,997
270.72us,999
270.92us,997
272.12us,998
272.32us,996
272.52us,997
272.92us,996
273.52us,997
273.72us,995
274.12us,997
274.32us,995
274.52us,997
274.72us,995
274.92us,997
275.32us,995
275.92us,996
276.12us,997
276.32us,995
276.52us,993
276.72us,995
277.12us,994
277.32us,997
277.52us,995
277.72us,999
277.92us,997
278.12us,993
278.32us,994
278.52us,993
278.72us,995
279.12us,994
279.32us,995
279.52us,993
279.92us,995
280.12us,992
280.32us,995
280.52us,993
280.72us,995
280.92us,994
281.12us,991
281.32us,993
281.92us,992
282.12us,994
282.32us,993
283.32us,992
283.52us,993
284.12us,992
284.32us,991
284.52us,993
284.72us,991
284.92us,993
285.32us,999
285.52us,993
285.72us,992
286.12us,993
286.52us,991
286.72us,993
286.92us,991
287.52us,993
287.72us,991
288.92us,990
289.12us,991
289.52us,989
289.72us,991
289.92us,989
290.12us,990
290.32us,993
290.52us,989
290.72us,991
291.12us,990
291.72us,991
291.92us,992
292.12us,990
292.32us,989
293.32us,990
293.72us,991
293.92us,989
294.12us,995
294.32us,989
294.72us,990
294.92us,991
295.12us,989
295.52us,991
295.72us,989
297.12us,987
297.32us,989
297.72us,987
297.92us,989
298.12us,987
298.32us,989
298.72us,987
298.92us,988
299.12us,987
299.72us,989
299.92us,988
300.12us,989
300.52us,987
301.12us,989
301.32us,987
301.72us,989
301.92us,987
302.12us,989
302.32us,987
302.72us,991
302.92us,987
303.12us,989
303.32us,987
303.92us,989
304.12us,987
305.12us,988
305.32us,987
306.32us,985
306.52us,987
308.72us,985
308.92us,987
309.32us,985
309.52us,987
309.72us,985
309.92us,987
310.12us,984
310.32us,987
310.52us,986
310.72us,987
311.12us,986
311.32us,987
311.52us,985
